Architecture,MNIST,Fashion-MNIST,CIFAR-10,CIFAR-100
Traditional,87.48 +/- 0.19,78.31 +/- 0.35,39.01 +/- 0.14,17.20 +/- 0.46
Traditional + ReLU,98.70 +/- 0.16,89.27 +/- 0.52,56.40 +/- 0.48,25.71 +/- 0.36
Traditional + Field,98.39 +/- 0.33,87.83 +/- 0.51,54.42 +/- 0.18,25.65 +/- 0.37
Traditional + Field + ReLU,98.72 +/- 0.16,89.26 +/- 0.23,57.11 +/- 0.32,25.13 +/- 0.50
Traditional + ReLU + Field,98.73 +/- 0.09,88.95 +/- 0.48,57.56 +/- 0.37,25.06 +/- 0.40
APTx Neuron,96.75 +/- 0.63,81.54 +/- 1.08,35.90 +/- 0.82,12.59 +/- 1.81
APTx Neuron + ReLU,52.99 +/- 30.38,72.42 +/- 2.40,23.73 +/- 1.05,1.00 +/- 0.03
APTx Neuron + Field,98.54 +/- 0.12,89.59 +/- 0.65,61.92 +/- 0.22,32.33 +/- 0.27
APTx Neuron + Field + ReLU,98.47 +/- 0.09,88.63 +/- 0.31,10.00 +/- 0.01,1.01 +/- 0.01
APTx Neuron + ReLU + Field,98.15 +/- 0.16,88.76 +/- 0.16,56.60 +/- 0.45,1.00 +/- 0.01
