Architecture,Selected LR,RMSE,MAE,R2
Traditional,0.002,0.8897 +/- 0.0316,0.5200 +/- 0.0045,0.3869 +/- 0.0433
Traditional + ReLU,0.003,0.5125 +/- 0.0058,0.3414 +/- 0.0071,0.7967 +/- 0.0046
Traditional + Field,0.003,0.5376 +/- 0.0090,0.3623 +/- 0.0076,0.7763 +/- 0.0075
Traditional + Field + ReLU,0.003,0.5129 +/- 0.0031,0.3405 +/- 0.0057,0.7964 +/- 0.0025
Traditional + ReLU + Field,0.003,0.5153 +/- 0.0033,0.3427 +/- 0.0017,0.7946 +/- 0.0026
APTx Neuron,0.003,0.8543 +/- 0.3845,0.5886 +/- 0.2788,0.3438 +/- 0.6117
APTx Neuron + ReLU,0.003,0.5324 +/- 0.0056,0.3609 +/- 0.0070,0.7807 +/- 0.0046
APTx Neuron + Field,0.003,0.5147 +/- 0.0051,0.3422 +/- 0.0040,0.7950 +/- 0.0041
APTx Neuron + Field + ReLU,0.003,0.5277 +/- 0.0043,0.3576 +/- 0.0045,0.7845 +/- 0.0035
APTx Neuron + ReLU + Field,0.003,0.5236 +/- 0.0043,0.3543 +/- 0.0032,0.7878 +/- 0.0035
