run_id,config_hash,source_fingerprint,torch_version,torchvision_version,sklearn_version,numpy_version,amp,num_workers,timestamp_utc,status,error,dataset,task_type,variant,variant_label,base_neuron,uses_field,relu_position,field_on_output,is_alpha_trainable,use_delta_or_bias,lambda_init,psi_init,seed,split_seed,lr_initial,weight_decay,label_smoothing,epochs_requested,epochs_ran,best_epoch,patience,min_delta,batch_size,hidden_1,hidden_2,hidden_3,total_parameters,trainable_parameters,train_seconds,device,checkpoint_path,best_val_loss,best_val_accuracy_pct,best_val_top5_accuracy_pct,best_val_mse,best_val_rmse,best_val_rmse_usd,best_val_mae,best_val_mae_usd,best_val_r2,test_loss,test_accuracy_pct,test_top5_accuracy_pct,test_mse,test_rmse,test_rmse_usd,test_mae,test_mae_usd,test_r2,field1_lambda,field1_psi,field2_lambda,field2_psi,field3_lambda,field3_psi,output_lambda,output_psi
mnist__traditional__seed0__lr0p0003__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T19:59:10.079699+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,0,2026,0.0003,0.0001,0.0,50,15,10,5,0.0001,128,256,128,64,242762,242762,62.15716060693376,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed0__lr0p0003__cfg6629765b4ca2.pt,0.4919408702850342,86.92,98.96000000000001,,,,,,,0.45829234776496885,87.53999999999999,99.2,,,,,,,,,,,,,,
mnist__traditional__seed1__lr0p0003__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T19:59:53.149974+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,1,2026,0.0003,0.0001,0.0,50,10,5,5,0.0001,128,256,128,64,242762,242762,41.672485013026744,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed1__lr0p0003__cfg6629765b4ca2.pt,0.4926498375892639,86.28,99.0,,,,,,,0.45592259011268615,87.31,99.24,,,,,,,,,,,,,,
mnist__traditional__seed2__lr0p0003__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:00:23.032341+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,2,2026,0.0003,0.0001,0.0,50,7,2,5,0.0001,128,256,128,64,242762,242762,28.445450686849654,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed2__lr0p0003__cfg6629765b4ca2.pt,0.49258043212890623,86.7,98.96000000000001,,,,,,,0.4567752895593643,87.63,99.35000000000001,,,,,,,,,,,,,,
mnist__traditional__seed3__lr0p0003__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:00:49.248028+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,3,2026,0.0003,0.0001,0.0,50,6,1,5,0.0001,128,256,128,64,242762,242762,24.826385739957914,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed3__lr0p0003__cfg6629765b4ca2.pt,0.4981850093841553,86.38,99.02,,,,,,,0.46310849809646604,87.25,99.13,,,,,,,,,,,,,,
mnist__traditional__seed4__lr0p0003__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:01:15.703976+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,4,2026,0.0003,0.0001,0.0,50,6,1,5,0.0001,128,256,128,64,242762,242762,25.013870441820472,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed4__lr0p0003__cfg6629765b4ca2.pt,0.4921366168022156,86.64,99.06,,,,,,,0.4523563623428345,87.69,99.32,,,,,,,,,,,,,,
mnist__traditional__seed0__lr0p0005__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:01:50.352126+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,0,2026,0.0005,0.0001,0.0,50,8,3,5,0.0001,128,256,128,64,242762,242762,33.297403315780684,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed0__lr0p0005__cfg6629765b4ca2.pt,0.5102444417953491,86.28,98.96000000000001,,,,,,,0.47956698718070984,87.21,99.15,,,,,,,,,,,,,,
mnist__traditional__seed1__lr0p0005__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:02:32.908632+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,1,2026,0.0005,0.0001,0.0,50,10,5,5,0.0001,128,256,128,64,242762,242762,41.14423694391735,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed1__lr0p0005__cfg6629765b4ca2.pt,0.4975854342460632,85.96000000000001,98.98,,,,,,,0.46002255585193635,87.18,99.24,,,,,,,,,,,,,,
mnist__traditional__seed2__lr0p0005__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:03:32.186574+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,2,2026,0.0005,0.0001,0.0,50,14,9,5,0.0001,128,256,128,64,242762,242762,57.9197040181607,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed2__lr0p0005__cfg6629765b4ca2.pt,0.5040815130233764,86.26,98.92,,,,,,,0.4696169415473938,87.32,99.22,,,,,,,,,,,,,,
mnist__traditional__seed3__lr0p0005__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:04:19.283185+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,3,2026,0.0005,0.0001,0.0,50,11,6,5,0.0001,128,256,128,64,242762,242762,45.68159348494373,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed3__lr0p0005__cfg6629765b4ca2.pt,0.4961341535568237,86.14,98.92,,,,,,,0.4600385786533356,87.06,99.32,,,,,,,,,,,,,,
mnist__traditional__seed4__lr0p0005__cfg6629765b4ca2,6629765b4ca2,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-18T20:05:11.103293+00:00,ok,,mnist,classification,traditional,Traditional neuron,traditional,0,none,0,1,1,0.5,0.5,4,2026,0.0005,0.0001,0.0,50,12,7,5,0.0001,128,256,128,64,242762,242762,50.30322535894811,cuda,./results/lambda_psi_comparison/checkpoints/mnist/traditional/mnist__traditional__seed4__lr0p0005__cfg6629765b4ca2.pt,0.49238077363967897,86.96000000000001,99.02,,,,,,,0.4535566601037979,87.87,99.3,,,,,,,,,,,,,,
