run_id,config_hash,source_fingerprint,torch_version,torchvision_version,sklearn_version,numpy_version,amp,num_workers,timestamp_utc,status,error,dataset,task_type,variant,variant_label,base_neuron,uses_field,relu_position,field_on_output,is_alpha_trainable,use_delta_or_bias,lambda_init,psi_init,seed,split_seed,lr_initial,weight_decay,label_smoothing,epochs_requested,epochs_ran,best_epoch,patience,min_delta,batch_size,hidden_1,hidden_2,hidden_3,total_parameters,trainable_parameters,train_seconds,device,checkpoint_path,best_val_loss,best_val_accuracy_pct,best_val_top5_accuracy_pct,best_val_mse,best_val_rmse,best_val_rmse_usd,best_val_mae,best_val_mae_usd,best_val_r2,test_loss,test_accuracy_pct,test_top5_accuracy_pct,test_mse,test_rmse,test_rmse_usd,test_mae,test_mae_usd,test_r2,field1_lambda,field1_psi,field2_lambda,field2_psi,field3_lambda,field3_psi,output_lambda,output_psi
mnist__traditional_field__seed0__lr0p0003__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T06:59:34.887574+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,0,2026,0.0003,0.0001,0.0,50,50,50,5,0.0001,128,256,128,64,242768,242768,234.8352726039011,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed0__lr0p0003__cfg9d758a22d740.pt,0.14650103316307067,95.76,99.88,,,,,,,0.12684043475985526,96.44,99.87,,,,,,,0.8103404641151428,0.2874215841293335,0.40313053131103516,0.25913044810295105,0.3288247585296631,0.24944207072257996,,
mnist__traditional_field__seed1__lr0p0003__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:00:43.107696+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,1,2026,0.0003,0.0001,0.0,50,14,9,5,0.0001,128,256,128,64,242768,242768,66.6998772660736,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed1__lr0p0003__cfg9d758a22d740.pt,0.44720147094726564,88.0,99.16,,,,,,,0.4125606840372086,88.86,99.28,,,,,,,0.5166006088256836,0.43844082951545715,0.4719516336917877,0.438022255897522,0.45960986614227295,0.43351075053215027,,
mnist__traditional_field__seed2__lr0p0003__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:04:45.351751+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,2,2026,0.0003,0.0001,0.0,50,50,45,5,0.0001,128,256,128,64,242768,242768,240.7305249418132,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed2__lr0p0003__cfg9d758a22d740.pt,0.1563327097415924,95.84,99.88,,,,,,,0.13339634587168694,96.31,99.83999999999999,,,,,,,0.7957059741020203,0.25763022899627686,0.430550754070282,0.2657696604728699,0.32517653703689575,0.2506054639816284,,
mnist__traditional_field__seed3__lr0p0003__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:05:35.339262+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,3,2026,0.0003,0.0001,0.0,50,10,5,5,0.0001,128,256,128,64,242768,242768,48.47463694703765,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed3__lr0p0003__cfg9d758a22d740.pt,0.4692797749519348,87.42,99.03999999999999,,,,,,,0.42963420627117155,88.34,99.3,,,,,,,0.4776788353919983,0.4523223340511322,0.4622289538383484,0.4505756199359894,0.4604475200176239,0.44991955161094666,,
mnist__traditional_field__seed4__lr0p0003__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:06:33.807788+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,4,2026,0.0003,0.0001,0.0,50,12,7,5,0.0001,128,256,128,64,242768,242768,57.026982785901055,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed4__lr0p0003__cfg9d758a22d740.pt,0.4525961759567261,88.02,99.16,,,,,,,0.41691016612052917,88.82,99.32,,,,,,,0.4947996735572815,0.44519442319869995,0.4666525721549988,0.44269809126853943,0.4610114097595215,0.44156065583229065,,
mnist__traditional_field__seed0__lr0p0005__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:10:05.907558+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,0,2026,0.0005,0.0001,0.0,50,45,40,5,0.0001,128,256,128,64,242768,242768,210.71012820699252,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed0__lr0p0005__cfg9d758a22d740.pt,0.07390962748527527,97.7,99.98,,,,,,,0.060135260950773956,98.03,99.96000000000001,,,,,,,0.9170379042625427,0.23066705465316772,0.40311968326568604,0.21455009281635284,0.2979694902896881,0.2051936388015747,,
mnist__traditional_field__seed1__lr0p0005__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:13:37.012737+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,1,2026,0.0005,0.0001,0.0,50,44,39,5,0.0001,128,256,128,64,242768,242768,209.64185134507716,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed1__lr0p0005__cfg9d758a22d740.pt,0.07441606497764587,97.8,99.94,,,,,,,0.06161177079379559,98.09,99.99,,,,,,,0.9153707027435303,0.21041972935199738,0.4271645247936249,0.22373521327972412,0.29536572098731995,0.20699971914291382,,
mnist__traditional_field__seed2__lr0p0005__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:17:11.036016+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,2,2026,0.0005,0.0001,0.0,50,45,40,5,0.0001,128,256,128,64,242768,242768,212.554775465047,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed2__lr0p0005__cfg9d758a22d740.pt,0.06846579604148864,97.86,99.98,,,,,,,0.056983576010912654,98.14,99.95,,,,,,,0.9123697876930237,0.20571008324623108,0.41671988368034363,0.2158222794532776,0.28547772765159607,0.2009761482477188,,
mnist__traditional_field__seed3__lr0p0005__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:21:10.045299+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,3,2026,0.0005,0.0001,0.0,50,50,48,5,0.0001,128,256,128,64,242768,242768,237.5142024459783,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed3__lr0p0005__cfg9d758a22d740.pt,0.07150334367752076,97.8,99.94,,,,,,,0.05750230732113123,98.1,99.95,,,,,,,0.9107741713523865,0.223179429769516,0.4276364743709564,0.21454283595085144,0.28849709033966064,0.1960044503211975,,
mnist__traditional_field__seed4__lr0p0005__cfg9d758a22d740,9d758a22d740,96b354dd2d4cd04c,2.12.1+cu130,0.27.1+cu130,1.9.0,2.5.2,0,4,2026-08-27T07:25:04.085523+00:00,ok,,mnist,classification,traditional_field,Traditional neuron + Lambda-Psi,traditional,1,none,0,1,1,0.5,0.5,4,2026,0.0005,0.0001,0.0,50,50,47,5,0.0001,128,256,128,64,242768,242768,232.53669075784273,cuda,./results/lambda_psi_hidden_only/checkpoints/mnist/traditional_field/mnist__traditional_field__seed4__lr0p0005__cfg9d758a22d740.pt,0.07096810715198516,97.86,99.98,,,,,,,0.05833837056010961,97.97,99.97,,,,,,,0.9183657169342041,0.22028324007987976,0.43349573016166687,0.22193385660648346,0.2848472595214844,0.18993309140205383,,
