dataset,task_type,variant,variant_label,config_hash,field_on_output,is_alpha_trainable,use_delta_or_bias,lambda_init,psi_init,epochs_requested,batch_size,hidden_1,hidden_2,hidden_3,weight_decay,label_smoothing,selected_lr,selection_metric,selection_direction,n_runs,n_unique_seeds,expected_seeds,complete_seed_set,best_val_loss_mean,best_val_loss_std,best_val_accuracy_pct_mean,best_val_accuracy_pct_std,best_val_top5_accuracy_pct_mean,best_val_top5_accuracy_pct_std,best_val_mse_mean,best_val_mse_std,best_val_rmse_mean,best_val_rmse_std,best_val_rmse_usd_mean,best_val_rmse_usd_std,best_val_mae_mean,best_val_mae_std,best_val_mae_usd_mean,best_val_mae_usd_std,best_val_r2_mean,best_val_r2_std,test_loss_mean,test_loss_std,test_accuracy_pct_mean,test_accuracy_pct_std,test_top5_accuracy_pct_mean,test_top5_accuracy_pct_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std,test_rmse_usd_mean,test_rmse_usd_std,test_mae_mean,test_mae_std,test_mae_usd_mean,test_mae_usd_std,test_r2_mean,test_r2_std,field1_lambda_mean,field1_lambda_std,field1_psi_mean,field1_psi_std,field2_lambda_mean,field2_lambda_std,field2_psi_mean,field2_psi_std,field3_lambda_mean,field3_lambda_std,field3_psi_mean,field3_psi_std,output_lambda_mean,output_lambda_std,output_psi_mean,output_psi_std,train_seconds_mean,train_seconds_std
california_housing,regression,aptx_field,APTx Neuron + Lambda-Psi,66b8428c8eb2,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,best_val_rmse_mean,min,5,5,5,1,0.2532553989757863,0.007838492217122166,,,,,0.25325539917169443,0.007838492803848324,0.5031969140363453,0.007767309379166787,50319.691403634526,776.73093791668,0.3372021431955256,0.007863468958996816,33720.214319552564,786.3468958996835,0.8213756963830352,0.005528590202117539,0.2610188309536424,0.009805544049416031,,,,,0.26101883017518646,0.009805543861280354,0.5108289807109031,0.009525140487556639,51082.89807109032,952.5140487556656,0.3392119963566751,0.007384956499809941,33921.19963566751,738.4956499809931,0.7980323989610265,0.00758720039169608,0.7346406579017639,0.024117339406504047,0.5771121978759766,0.05385382724929728,0.7988163590431213,0.05715263389875873,0.6690965414047241,0.03240413397459397,0.8400005459785461,0.03114831952415032,0.708726954460144,0.022389304341747174,,,,,212.4894149463624,27.642883066881875
california_housing,regression,aptx_field_relu,APTx Neuron + Lambda-Psi + ReLU,cdd33e2efe00,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,best_val_rmse_mean,min,5,5,5,1,0.27791343363680576,0.008760080744415795,,,,,0.27791343575724897,0.008760081425661462,0.5271219949186653,0.008354507033300493,52712.19949186654,835.4507033300503,0.358484110672229,0.006498290214563574,35848.4110672229,649.8290214563559,0.8039840647413726,0.00617859855862681,0.2804157006186109,0.005722307726367996,,,,,0.28041570083677153,0.0057223100085114385,0.5295208692697843,0.0054025277120412964,52952.08692697843,540.25277120413,0.3563034820363157,0.005121043898488726,35630.34820363157,512.1043898488742,0.7830237521421197,0.00442773122553907,0.5825252056121826,0.024942605136953257,0.5706778407096863,0.01899048966977937,0.598694097995758,0.015329357455426807,0.5627609133720398,0.01412473026477697,0.5996634483337402,0.023425446201338768,0.5472927927970886,0.020218411633017283,,,,,101.59487581467256,23.186881133267022
california_housing,regression,aptx_relu_field,APTx Neuron + ReLU + Lambda-Psi,26b8762a12eb,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,best_val_rmse_mean,min,5,5,5,1,0.2672834888909214,0.0021576657620280167,,,,,0.26728348846606365,0.0021576664748439857,0.5169912977624237,0.002087613466576256,51699.12977624237,208.76134665762524,0.3486074075767005,0.0029007325408404736,34860.74075767005,290.0732540840493,0.8114815038427036,0.001521830029161183,0.2704122395940529,0.0024438971321998158,,,,,0.2704122396502249,0.00244389740280791,0.5200075058065956,0.0023541333406178256,52000.75058065956,235.41333406178134,0.34979117900393036,0.0007606095147027635,34979.11790039304,76.06095147027652,0.7907640943104502,0.0018910056998539635,0.6373343229293823,0.06519656388691251,0.4491287112236023,0.036268894857068475,0.7213517904281617,0.0667920186460808,0.5818942070007325,0.02339664348985864,0.6990940570831299,0.06717608273276512,0.6040273785591126,0.05013394622857375,,,,,155.35150753883644,11.187105948094638
california_housing,regression,traditional_field,Traditional neuron + Lambda-Psi,8d6127bb084a,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,best_val_rmse_mean,min,5,5,5,1,0.2778190801309985,0.004578869492970837,,,,,0.2778190786773556,0.004578868074599175,0.5270711595285251,0.004340430654277711,52707.11595285251,434.04306542777306,0.3566677942554387,0.004238807438057764,35666.779425543864,423.880743805776,0.8040506160083641,0.0032295347852573674,0.2791067450545555,0.0062453943884754155,,,,,0.2791067450154622,0.00624539558961022,0.5282792802541403,0.005889298518250141,52827.92802541404,588.9298518250147,0.3534611536796356,0.005810638173070104,35346.11536796357,581.0638173070113,0.784036578178151,0.004832477273483961,0.5316939234733582,0.07822882801721544,0.13653847724199294,0.05188911669235005,0.9536794900894165,0.014020700404309685,0.38843445777893065,0.0597027493773036,0.7153644919395447,0.08706774155584672,0.47683862447738645,0.011586796615313207,,,,,357.82114007361236,18.29279631510865
california_housing,regression,traditional_field_relu,Traditional neuron + Lambda-Psi + ReLU,db7891f4d117,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,best_val_rmse_mean,min,5,5,5,1,0.25266980228498,0.005707616604031554,,,,,0.2526698017806514,0.005707616247127542,0.5026369940797488,0.005684844228960499,50263.69940797488,568.4844228960496,0.3345601368060177,0.0033412639363852867,33456.01368060177,334.1263936385272,0.8217887257854372,0.004025655448178029,0.25975925751434736,0.006100582284029862,,,,,0.2597592575120029,0.006100584232653157,0.5096376669054469,0.005990198575136418,50963.76669054469,599.0198575136413,0.3338460320953366,0.003663410629144975,33384.60320953366,366.341062914496,0.799007013968483,0.0047204271108646995,0.38770747780799864,0.03470325811066652,0.4940416932106018,0.014562481431447272,0.4938588201999664,0.030711522109444514,0.40695215463638307,0.015592450637947551,0.5035494685173034,0.007167028250809926,0.4440495610237122,0.006595377406108809,,,,,253.4403762809001,31.6791355937978
california_housing,regression,traditional_relu_field,Traditional neuron + ReLU + Lambda-Psi,8eab473db429,0,1,1,0.5,0.5,200,128,128,64,32,0.0001,0.0,0.003,best_val_rmse_mean,min,5,5,5,1,0.2545828047417855,0.00378089284073788,,,,,0.2545828061573542,0.003780889832099658,0.5045508427350669,0.00375054207548647,50455.08427350668,375.05420754864673,0.3418244231954332,0.0040780340694132056,34182.44231954332,407.8034069413207,0.820439459093701,0.002666710425602449,0.26723488486090374,0.004427419064257632,,,,,0.2672348847176045,0.004427418281714941,0.5169335290166508,0.004273654173533072,51693.35290166508,427.36541735330866,0.34501494791416465,0.00358800607413745,34501.494791416466,358.8006074137441,0.7932226248040549,0.0034257875133143142,0.27452138662338255,0.01709277860433648,0.30304924249649046,0.014575658373257638,0.28428871631622316,0.025197319463679042,0.5116973936557769,0.010625773984313905,0.4517880916595459,0.019760052887508952,0.4749819219112396,0.004020651781940305,,,,,213.6057869648561,43.876705759051504
cifar10,classification,aptx_field,APTx Neuron + Lambda-Psi,f29d0036035f,0,1,1,0.5,0.5,100,64,384,256,192,0.0002,0.05,0.003,best_val_accuracy_pct_mean,max,5,5,5,1,1.2305396492385863,0.007562204347984333,62.564,0.5402591970526719,95.752,0.23815961034567054,,,,,,,,,,,,,1.235939871749878,0.008338591721808248,62.455999999999996,0.42852071128476427,95.924,0.05079370039679667,,,,,,,,,,,,,0.9690780878067017,0.0006686574278993678,0.7478199124336242,0.006764911529411228,0.9460164785385132,0.00269013395062743,0.794768750667572,0.00786876034859538,0.9718842744827271,0.0019876206409785917,0.8741725087165833,0.007768874439711192,,,,,989.7855246759485,54.41041695487107
cifar10,classification,aptx_field_relu,APTx Neuron + Lambda-Psi + ReLU,727ce2f1ecba,0,1,1,0.5,0.5,100,64,384,256,192,0.0002,0.05,0.002,best_val_accuracy_pct_mean,max,5,5,5,1,2.314429970016479,0.017969275427224575,10.6,0.05656854249492385,50.324,0.4930314391598174,,,,,,,,,,,,,2.3114371339416504,0.014062272556302213,10.008,0.013038404810405019,50.016,0.020736441353326508,,,,,,,,,,,,,0.5412230730056763,0.008251310708981087,0.5389016151428223,0.007778429480244534,0.5412589073181152,0.008267704912483907,0.5397502422332764,0.020887147346387136,0.5300715029239654,0.021653087507714986,0.5826892137527466,0.047067988273014144,,,,,252.64545265333726,101.59908164622115
cifar10,classification,aptx_relu_field,APTx Neuron + ReLU + Lambda-Psi,676ec11cc646,0,1,1,0.5,0.5,100,64,384,256,192,0.0002,0.05,0.003,best_val_accuracy_pct_mean,max,5,5,5,1,1.3825918528366088,0.013646808964494172,55.708000000000006,0.7392699101140271,93.904,0.35196590743991313,,,,,,,,,,,,,1.384801958389282,0.011329683547623379,55.258,0.46034769468305287,94.096,0.1289573572930221,,,,,,,,,,,,,0.9306457042694092,0.008652110296535578,0.4688844680786133,0.10954818385764972,0.8638767242431641,0.039719381906636125,0.550009834766388,0.03511854970307208,0.9565098881721497,0.008786120947858116,0.843051815032959,0.01033726285804463,,,,,3811.9372143578717,288.0723750748631
cifar10,classification,traditional_field,Traditional neuron + Lambda-Psi,355a35575255,0,1,1,0.5,0.5,100,64,384,256,192,0.0002,0.05,0.001,best_val_accuracy_pct_mean,max,5,5,5,1,1.4050425158691406,0.007031984633325308,55.164,0.4504220243282976,93.63199999999999,0.18633303518163347,,,,,,,,,,,,,1.4050058179473877,0.007332557086431368,54.66799999999999,0.40307567527698873,93.672,0.23721298446754457,,,,,,,,,,,,,0.9585960745811463,0.0029687852828776235,0.6853432536125184,0.010266142230429435,0.983295738697052,0.0011652370718429393,0.12655579745769502,0.0175822209459079,0.9559308886528015,0.005512096200446508,0.025397198088467122,0.008663540500421004,,,,,738.6844944908283,9.65083404690547
